month,year,temperature,cases,transmission_potential,R0_estimated
0,2015,15.16995951417,8,2.9478141853898045e-05,2.260414938636792e-05
1,2015,17.0125,6,0.00046833117916330404,0.00035912127665880313
2,2015,18.881592920354,6,0.028223134983974562,0.02164179691146397
3,2015,22.8604166666667,5,0.7272703168909292,0.557678532410612
4,2015,26.4127125506073,8,2.5134565761608765,1.9273449529240396
5,2015,29.3113333333333,6,3.2518374084586825,2.493543145469993
6,2015,28.8492741935484,15,3.2549893181088967,2.4959600629588525
7,2015,28.9476113360324,58,3.2588333138326906,2.498907679332091
8,2015,27.8740833333334,1141,3.0934717238224154,2.372106671931914
9,2015,25.2289430894309,344,1.8829555844866592,1.4438701574401946
10,2015,22.8348333333333,77,0.7176208824916432,0.5502792445675564
11,2015,16.7198380566802,9,0.00033791051024541707,0.00025911333525254675
12,2016,14.3283870967742,7,0.01,0.00766810523485518
13,2016,13.9564511106892,15,0.01,0.00766810523485518
14,2016,16.930415959253,9,0.000428477097430378,0.00032856074738214346
15,2016,23.494859483961,7,0.9903227637270938,0.7593899168731978
16,2016,26.3998677680554,12,2.5070891567540645,1.9224623487154502
17,2016,28.8366666666667,10,3.2543229864599326,2.4954491128382954
18,2016,29.4899595141701,38,3.235942097209672,2.4813544535301735
19,2016,28.3416129032258,56,3.19787451819115,2.4521638333351548
20,2016,27.7438493723849,224,3.0562666759277275,2.343577449679485
21,2016,26.0737903225807,112,2.3406671988273806,1.7948482400382049
22,2016,20.6630833333333,49,0.17138646904593102,0.1314209480474449
23,2016,18.0618623481781,5,0.008232436788216313,0.006312719163133588
24,2017,17.0439810856329,9,0.0004843365843179987,0.00037139438976407235
25,2017,15.8711607142857,6,0.00010864530098471763,8.3310360122333e-05
26,2017,18.5101201514954,6,0.01701102566746323,0.013044233497093063
27,2017,22.4721976987448,10,0.5891581869148865,0.4517726977239828
28,2017,25.6191935483871,11,2.0972206096371204,1.6081708335404576
29,2017,28.444319735007,23,3.214335784290945,2.4647865054103724
30,2017,28.465,39,3.217356091825325,2.4671025090118976
31,2017,29.3103225806452,196,3.251903796298484,2.493594052364184
32,2017,28.8885833333333,385,3.2568143544116754,2.497359520001566
33,2017,25.3130220713073,758,1.929264220489606,1.4793801068555146
34,2017,20.8778333333334,208,0.20344366164825495,0.156002740688309
35,2017,16.4512096774194,11,0.00024420144127182354,0.000187256235017565
36,2018,14.8050806451613,2,0.01,0.00766810523485518
37,2018,15.0386607142857,3,2.1571012431426542e-05,1.6540879334654805e-05
38,2018,20.1391935483871,2,0.10898174203832048,0.08356834666276822
39,2018,22.8470292887029,8,0.7222113543943895,0.5537992667303469
40,2018,27.8200809716599,24,3.0784535369199055,2.3605905681713972
41,2018,27.9156666666667,31,3.1046343351409695,2.3806662797605602
42,2018,28.8931174089069,74,3.2570002050074653,2.497502032194214
43,2018,28.2395967741935,349,3.179151906975007,2.4378071380274884
44,2018,27.6331624825662,1211,3.022046495430972,2.317337055158999
45,2018,23.8795161290323,1262,1.1703195011514302,0.8974133093232386
46,2018,21.4488129601186,315,0.30986715808937565,0.23760939770548392
47,2018,17.2776488833747,34,0.001023659245078726,0.0007849526815896081
48,2019,16.3933302860128,34,0.00022687390713946535,0.00017396929949881822
49,2019,18.6429464285714,13,0.02054939122358923,0.015757489441469166
50,2019,19.6688383178791,19,0.06916683512483164,0.05303785704990867
51,2019,23.6990258019526,39,1.0841002199891,0.8312994572006069
52,2019,24.935564516129,89,1.7217374547430133,1.3202463989761135
53,2019,28.3145390516039,265,3.193134147533495,2.448528867229643
54,2019,29.0627419354839,428,3.2602578126292694,2.5
55,2019,28.9638866396761,1347,3.2592369304898745,2.4992171768322735
56,2019,28.0769166666667,1517,3.1445331387927307,2.411261102275213
57,2019,25.3271370967742,1786,1.9370359931694736,1.4853395839325745
58,2019,21.3425573570432,473,0.28757804807489923,0.22051787358725694
59,2019,17.5380487804878,32,0.0025758232696823755,0.001975168389831321
