N,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,r2_log,MAE,RMSE,MedAE,WAPE,sMAPE,RMSLE,city,years,months
180,0.282824150503266,0.00011962693509776017,0.5247233021675961,4.002180956345911e-14,0.41834097720347985,5.273103818996998e-13,0.3306740481358753,19.322839921476355,92.10410714954573,0.7828742646163502,1.4150167558444848,1.7646351687814386,1.0932678159219777,Chaozhou,15,180
180,0.5331069419562349,1.3174192116248799e-14,0.555895327383033,5.474409670903164e-16,0.43911867552698625,1.1837942279227235e-14,0.5028840677382262,3.6641080845557035,13.875622931884715,0.4163685353285508,0.8997809757435561,1.611786751976914,0.722211643953578,Dongguan,15,180
180,0.42929149962917623,1.8192775932259715e-09,0.656754355585731,1.3753477932809046e-23,0.5259180467369666,3.717238303406388e-21,0.40654786960820244,35.254289577228114,186.2895637464872,0.7901142418482286,1.1626552077502859,1.529850939710343,1.2433481255726706,Foshan,15,180
180,0.5077169560966485,3.4785191607053084e-13,0.7153989984756626,1.602654381669191e-29,0.5494008124995758,1.0218796205733471e-25,0.6034404983028766,227.26772386586265,1562.4085785236264,2.4345103549061142,0.9278337558597249,1.307352237794772,1.280666374101968,Guangzhou,15,180
180,0.588603173390527,3.642961386407943e-18,0.4733468543505303,1.9399508552486506e-11,0.3866288661546026,1.0218001997219935e-10,0.3658655483690706,1.2387872132151083,3.8627725643648487,0.3752747026322424,1.2889115513220781,1.8681562315098852,0.5021858756725288,Huizhou,15,180
180,0.5288779943572196,2.3163842445529087e-14,0.46503867377084235,4.803366293095631e-11,0.37082740235788036,2.4001968623430294e-10,0.5041011773837754,7.38673134994385,29.324136573008836,0.312547533586668,0.9291485974772138,1.8058399836053525,0.8488272739583381,Jiangmen,15,180
180,0.5351980787981793,9.937229447808068e-15,0.4585879018145829,9.551087327863709e-11,0.3693251818601366,4.78272071651749e-10,0.38166397385626005,3.141278902507285,11.220402458859189,0.4779378337346398,1.0588580570249275,1.8757434836390519,0.7245461957589986,Jieyang,15,180
180,0.45473168659943364,1.4306835165713783e-10,0.21757017032189488,0.0033472890188567025,0.1724136472441387,0.0036199488636421656,-0.06362561312150672,2.0499405373077115,5.942064249478682,0.9317775527959566,1.5184744720797863,1.8051548819000374,0.7623010131837743,Maoming,15,180
180,0.4089144269195004,1.2045138353663551e-08,0.4137052745914401,7.810844366302147e-09,0.33126078518828866,2.250131865437173e-08,0.1356153181575177,3.9667629913128986,16.859566422903875,0.7821149407995671,1.5256780735818842,1.8427141960611535,0.7573061762124275,Qingyuan,15,180
180,0.44038116136824274,6.161520032302567e-10,0.27234930009726044,0.00021674247511362763,0.2139233139021126,0.0002580852366463706,0.16583979042928276,8.373163585550866,43.95002084894264,1.1190351864967867,1.037281104885861,1.7617898043353504,1.0185813275607793,Shantou,15,180
180,0.5089514642282961,2.9851515763913635e-13,0.6257507438776881,5.904363670636071e-21,0.4855460123786809,3.9858602058299287e-19,0.495820033440894,8.91484632411961,32.849796389391116,0.9339221495763548,1.0893905895054512,1.3657891987747048,0.8553106596173013,Shenzhen,15,180
180,0.5176178862018189,1.0023564459375562e-13,0.484044384975182,5.82032639535829e-12,0.3956360585827618,3.070500459823235e-11,-0.14815972247767872,3.257065016078559,13.435803167719394,0.7805932727107218,1.4693526388324327,1.8328042605111234,0.8211741425071483,Yangjiang,15,180
180,0.26933725133394987,0.0002560190673100185,0.46414747755005614,5.286368579292838e-11,0.36928694568151216,3.3765952909316864e-10,0.18569767839490925,13.652734770215604,52.3663001997134,0.7858621318429657,1.41479116789799,1.812753278588729,1.1224694386450398,Zhanjiang,15,180
180,0.41695748846108627,5.798367709732369e-09,0.40392016413270476,1.87839742004543e-08,0.3246158755757988,4.8153968371688134e-08,-0.20831928881575879,3.0717988637801414,15.053733382620118,0.7812383265574576,1.5358994318900707,1.8170171272912679,0.7646165058488856,Zhaoqing,15,180
180,0.5746402511126908,3.3145009804044947e-17,0.6085289153772729,1.2890495233554476e-19,0.487611375170289,7.419854767918358e-18,0.4351344182884652,12.12592352343019,42.40845348963131,0.7871147638529646,0.965354371613195,1.5759218310065668,1.0410023397946828,Zhongshan,15,180
180,0.45453223545857824,1.4606993800638477e-10,0.4008607687921282,2.4572183714502548e-08,0.31647297116584183,5.0531002251922314e-08,0.12070439541538791,5.983860199951389,26.299659750052648,0.7816159684133592,1.2977046216762047,1.6391871216926284,0.9220348804201334,Zhuhai,15,180
