idx,complexity,loss_distill,equation,r2_real,r_real,rmse_real
1,3,0.2526763094568218,T * 0.07820845625425157,0.10559900669824251,0.48220794857017746,0.7101450666370858
2,4,0.2314090982275685,T / sqrt(Rm),0.1213482833408358,0.4587612592428836,0.7038649167112445
3,5,0.1964989557045857,T * (Tm * 0.003136410455042934),0.20610998649779988,0.5438973779996338,0.6690539012010565
4,7,0.1202336498550207,T * ((Tm * 0.012955099404042568) - 0.24735814732242775),0.34939369164224565,0.593439298817449,0.6056755925986193
5,9,0.0593922419923576,(Tm + -18.504632064535105) * (T / (Rm - 92.61079486274429)),0.3369948277552868,0.6250404440136689,0.6114196556891481
6,11,0.0520861943429014,(T * ((Tm + -20.105208761010005) / (Rm - 99.18554326751948))) - -0.3214479236309181,0.38365668618129756,0.6583345516904895,0.5895115011753583
7,13,0.0507915382782772,(((Tm * 1.1187757910798557) - 21.495211642823612) * (T + 4.354283560097783)) / (Rm - Hm),0.38940188346006976,0.6531225407478709,0.5867575251151339
8,15,0.0501633158961398,(T / (Rm - Hm)) * (((Tm * 1.332713875279349) + (T * -0.06726442690399459)) + -23.99446791600689),0.3928142930477967,0.6596882251627137,0.5851156413088765
9,16,0.0480166161758591,((T + cos(T * 0.32018542304263714)) * ((Tm * 1.3104823357712718) - 25.147899309028332)) / (Rm - 78.68222413404973),0.39337766349703907,0.6610683384937747,0.5848441318218389
10,17,0.0470632138991018,((Tm * 1.2449409426390938) - 23.915431640977843) * ((exp(cos(T * 0.3136884866824088)) + T) / (Rm - 78.6094289184632)),0.39404750148235435,0.6640176418269178,0.5845211474913353
11,18,0.0461989556309992,(((Tm * 1.308708344403055) - 25.006108496600106) * (T - (cos(T * 0.3180271702672369) * -1.7339982004961219))) / (Rm - Hm),0.39279967216804434,0.6624193435910092,0.5851226859855178
12,20,0.0434319461191566,(((Tm * 1.3310420707608466) - 25.854740216361993) / (Rm - 75.86206858099658)) * ((cos((T + Tm) * -0.2047776721087566) * -2.7976409295441065) + T),0.3958105644396642,0.6606263659295056,0.5836701746087508
13,22,0.0434318935589145,(((Tm * 1.3303602406674115) - 25.846519634177163) / (Rm - 75.86157708987349)) * (T + ((cos((T + Tm) * -0.20489013879043919) * -2.797705507497939) - -0.027252913005040753)),0.39594849137907473,0.6607671193224157,0.5836035494486312
14,23,0.0429290223618098,(T * ((((cos(cos(Tm * 1.6541620378845754) - (T * -0.3001297279542507)) * 0.5373652318937906) + Tm) * 1.3237523979529262) - 25.50869741021936)) / (Rm - 79.0208890606573),0.43736548087489635,0.6972619597071424,0.5632408235324786
15,25,0.042303370972002,((T / (Rm - 79.31761151785749)) - -0.016488618021756468) * (((cos(cos(Tm * 1.4048073075344458) - (T * -0.29480491706969414)) * 0.617750650595685) - 24.87498592650221) + (Tm * 1.27552467726209)),0.43764776865241606,0.69210259438599,0.5630995098173156
